 -4.95   0.00   0.00   0.00  -0.01   0.01   0.01 
 -4.90   0.00   0.01   0.01  -0.01   0.02   0.02 
 -4.85   0.00   0.01   0.01  -0.02   0.02   0.03 
 -4.80   0.01   0.01   0.02  -0.02   0.03   0.04 
 -4.75   0.01   0.02   0.02  -0.03   0.04   0.05 
 -4.70   0.01   0.02   0.03  -0.04   0.05   0.05 
 -4.65   0.01   0.02   0.03  -0.04   0.05   0.06 
 -4.60   0.01   0.02   0.04  -0.05   0.06   0.07 
 -4.55   0.01   0.03   0.04  -0.05   0.06   0.07 
 -4.50   0.02   0.03   0.05  -0.06   0.07   0.08 
 -4.45   0.02   0.03   0.05  -0.06   0.08   0.09 
 -4.40   0.02   0.04   0.05  -0.07   0.08   0.09 
 -4.35   0.02   0.04   0.06  -0.07   0.08   0.09 
 -4.30   0.02   0.04   0.06  -0.08   0.09   0.10 
 -4.25   0.02   0.05   0.06  -0.08   0.09   0.10 
 -4.20   0.02   0.05   0.07  -0.08   0.09   0.10 
 -4.15   0.03   0.05   0.07  -0.09   0.10   0.10 
 -4.10   0.03   0.05   0.07  -0.09   0.10   0.10 
 -4.05   0.03   0.06   0.08  -0.09   0.10   0.10 
 -4.00   0.03   0.06   0.08  -0.09   0.10   0.10 
 -3.96   0.03   0.06   0.08  -0.10   0.10   0.09 
 -3.91   0.03   0.06   0.09  -0.10   0.10   0.09 
 -3.86   0.04   0.07   0.09  -0.10   0.10   0.08 
 -3.81   0.04   0.07   0.09  -0.10   0.10   0.08 
 -3.76   0.04   0.07   0.09  -0.10   0.09   0.07 
 -3.71   0.04   0.07   0.09  -0.10   0.09   0.06 
 -3.66   0.04   0.07   0.10  -0.10   0.09   0.06 
 -3.61   0.04   0.08   0.10  -0.10   0.08   0.05 
 -3.56   0.04   0.08   0.10  -0.10   0.08   0.04 
 -3.51   0.05   0.08   0.10  -0.10   0.07   0.03 
 -3.46   0.05   0.08   0.10  -0.09   0.07   0.02 
 -3.41   0.05   0.08   0.10  -0.09   0.06   0.01 
 -3.36   0.05   0.09   0.10  -0.09   0.05   0.00 
 -3.31   0.05   0.09   0.10  -0.08   0.05  -0.00 
 -3.26   0.05   0.09   0.10  -0.08   0.04  -0.01 
 -3.21   0.05   0.09   0.10  -0.08   0.03  -0.02 
 -3.16   0.05   0.09   0.10  -0.07   0.02  -0.03 
 -3.11   0.06   0.09   0.10  -0.07   0.02  -0.04 
 -3.06   0.06   0.09   0.10  -0.06   0.01  -0.05 
 -3.01   0.06   0.09   0.10  -0.06   0.00  -0.06 
 -2.96   0.06   0.10   0.09  -0.05  -0.01  -0.06 
 -2.91   0.06   0.10   0.09  -0.05  -0.01  -0.07 
 -2.86   0.06   0.10   0.09  -0.04  -0.02  -0.08 
 -2.81   0.06   0.10   0.09  -0.04  -0.03  -0.08 
 -2.76   0.06   0.10   0.09  -0.03  -0.04  -0.09 
 -2.71   0.07   0.10   0.08  -0.03  -0.04  -0.09 
